Rat number: 7 , Date: 20210716 
419,418,424,423,422,416,417,418,424,418,424,418,417,410,409,408,407,401,324,318,317,316,322,321,320,314,315,308,307,306,307,301,302,121,120,114,113,106,107,101,102,103,104,105,104,105,111,110,109,103,109,108,107,101,102,103,104,105,111,112,119,118,124,201,202,203,209,210,211,205,204,203,209,208,215,216,217,218,224,223,404,405,411,410,417,416,422,423,422,421,420,414,415,408,407,401,324,323,322,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
Summary Trial 10
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('303', '302') ('00:24:16.400', '00:24:25.480') 9.08 0.3 0.033
('302', '121') ('00:24:25.480', '00:24:32.280') 6.8 1.72 0.253
('121', '122') ('00:24:32.280', '00:24:33.160') 0.88 0.3 0.341
('122', '123') ('00:24:33.160', '00:24:33.800') 0.64 0.3 0.469
('123', '124') ('00:24:33.800', '00:24:34.560') 0.76 0.3 0.395
('124', '201') ('00:24:34.560', '00:24:36.120') 1.56 0.6 0.385
('201', '202') ('00:24:36.120', '00:24:36.800') 0.68 0.3 0.441
('202', '203') ('00:24:36.800', '00:24:37.920') 1.12 0.3 0.268
('203', '209') ('00:24:37.920', '00:24:39.400') 1.48 0.3 0.203

119,118,124,201,202,203,209,
Summary Trial 11
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('119', '118') ('00:25:22.840', '00:25:31.880') 9.04 0.3 0.033
('118', '124') ('00:25:31.880', '00:25:32.800') 0.92 0.3 0.326
('124', '201') ('00:25:32.800', '00:25:33.840') 1.04 0.6 0.577
('201', '202') ('00:25:33.840', '00:25:34.560') 0.72 0.3 0.417
('202', '203') ('00:25:34.560', '00:25:35.960') 1.4 0.3 0.214
('203', '209') ('00:25:35.960', '00:25:37.160') 1.2 0.3 0.25

405,411,410,409,403,404,223,224,218,217,210,209,203,204,203,209,203,209,203,209,208,207,201,202,203,209,210,217,216,222,223,404,405,411,410,417,416,422,423,422,423,424,418,417,416,422,423,209,
Summary Trial 12
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('405', '411') ('00:26:39.000', '00:26:41.680') 2.68 0.3 0.112
('411', '410') ('00:26:41.680', '00:26:44.760') 3.08 0.3 0.097
('410', '409') ('00:26:44.760', '00:26:46.720') 1.96 0.3 0.153
('409', '403') ('00:26:46.720', '00:26:47.840') 1.12 0.3 0.268
('403', '404') ('00:26:47.840', '00:26:48.280') 0.44 0.3 0.682
('404', '223') ('00:26:48.280', '00:26:51.240') 2.96 1.69 0.571
('223', '224') ('00:26:51.240', '00:26:52.360') 1.12 0.3 0.268
('224', '218') ('00:26:52.360', '00:26:53.600') 1.24 0.3 0.242
('218', '217') ('00:26:53.600', '00:26:54.400') 0.8 0.3 0.375
('217', '210') ('00:26:54.400', '00:26:55.160') 0.76 0.3 0.395
('210', '209') ('00:26:55.160', '00:26:56.640') 1.48 0.3 0.203
('209', '203') ('00:26:56.640', '00:27:46.800') 50.16 0.3 0.006
('203', '204') ('00:27:46.800', '00:27:56.480') 9.68 0.3 0.031
('204', '203') ('00:27:56.480', '00:27:58.080') 1.6 0.3 0.187
('203', '209') ('00:27:58.080', '00:28:2.120') 4.04 0.3 0.074
('209', '203') ('00:28:2.120', '00:28:47.640') 45.52 0.3 0.007
('203', '209') ('00:28:47.640', '00:29:32.240') 44.6 0.3 0.007
('209', '203') ('00:29:32.240', '00:31:29.560') 117.32 0.3 0.003
('203', '209') ('00:31:29.560', '00:31:31.360') 1.8 0.3 0.167
('209', '208') ('00:31:31.360', '00:32:2.680') 31.32 0.3 0.01
('208', '207') ('00:32:2.680', '00:32:5.000') 2.32 0.3 0.129
('207', '201') ('00:32:5.000', '00:32:9.800') 4.8 0.3 0.062
('201', '202') ('00:32:9.800', '00:32:12.960') 3.16 0.3 0.095
('202', '203') ('00:32:12.960', '00:32:15.520') 2.56 0.3 0.117
('203', '209') ('00:32:15.520', '00:32:19.760') 4.24 0.3 0.071
('209', '210') ('00:32:19.760', '00:32:25.600') 5.84 0.3 0.051
('210', '217') ('00:32:25.600', '00:32:27.200') 1.6 0.3 0.187
('217', '216') ('00:32:27.200', '00:32:30.000') 2.8 0.3 0.107
('216', '222') ('00:32:30.000', '00:32:41.080') 11.08 0.3 0.027
('222', '223') ('00:32:41.080', '00:32:44.480') 3.4 0.3 0.088
('223', '404') ('00:32:44.480', '00:32:56.760') 12.28 1.69 0.138
('404', '405') ('00:32:56.760', '00:33:2.800') 6.04 0.3 0.05
('405', '411') ('00:33:2.800', '00:33:4.040') 1.24 0.3 0.242
('411', '410') ('00:33:4.040', '00:33:5.760') 1.72 0.3 0.174
('410', '417') ('00:33:5.760', '00:33:9.120') 3.36 0.3 0.089
('417', '416') ('00:33:9.120', '00:33:11.960') 2.84 0.3 0.106
('416', '422') ('00:33:11.960', '00:33:29.040') 17.08 0.3 0.018
('422', '423') ('00:33:29.040', '00:33:37.640') 8.6 0.3 0.035
('423', '422') ('00:33:37.640', '00:34:56.920') 79.28 0.3 0.004
('422', '423') ('00:34:56.920', '00:35:36.800') 39.88 0.3 0.008
('423', '424') ('00:35:36.800', '00:35:57.640') 20.84 0.3 0.014
('424', '418') ('00:35:57.640', '00:36:2.800') 5.16 0.3 0.058
('418', '417') ('00:36:2.800', '00:36:15.440') 12.64 0.3 0.024
