Rat number: 7 , Date: 20210718 
319,318,317,310,311,305,220,214,215,208,209,208,207,201,202,203,209,210,217,218,219,218,219,212,211,210,209,203,202,201,124,118,117,110,109,103,102,101,107,106,107,108,115,116,122,121,302,303,309,308,307,308,315,316,322,321,322,323,324,401,407,408,415,416,422,423,422,416,417,410,411,405,404,223,224,218,217,210,209,203,204,205,211,210,209,208,207,201,202,203,202,201,207,208,209,203,209,210,217,218,224,218,217,210,217,210,209,208,207,201,202,203,204,203,209,
Summary Trial 1
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('408', '407') ('00:11:54.080', '00:11:54.600') 0.52 0.3 0.577
('407', '408') ('00:11:54.600', '00:11:54.640') 0.04 0.3 7.5
('408', '407') ('00:11:54.640', '00:11:54.680') 0.04 0.3 7.5
('407', '401') ('00:11:54.680', '00:11:56.920') 2.24 0.3 0.134
('401', '324') ('00:11:56.920', '00:12:3.280') 6.36 0.6 0.094
('324', '323') ('00:12:3.280', '00:12:8.160') 4.88 0.3 0.061
('323', '322') ('00:12:8.160', '00:12:14.200') 6.04 0.3 0.05
('322', '316') ('00:12:14.200', '00:12:39.840') 25.64 0.3 0.012
('316', '322') ('00:12:39.840', '00:12:41.560') 1.72 0.3 0.174
('322', '321') ('00:12:41.560', '00:12:53.520') 11.96 0.3 0.025
('321', '320') ('00:12:53.520', '00:12:57.920') 4.4 0.3 0.068
('320', '314') ('00:12:57.920', '00:12:59.480') 1.56 0.3 0.192
('314', '313') ('00:12:59.480', '00:13:0.760') 1.28 0.3 0.234
('313', '306') ('00:13:0.760', '00:13:3.880') 3.12 0.3 0.096
('306', '307') ('00:13:3.880', '00:13:5.400') 1.52 0.3 0.197
('307', '301') ('00:13:5.400', '00:13:13.760') 8.36 0.3 0.036
('301', '302') ('00:13:13.760', '00:13:14.480') 0.72 0.3 0.417
('302', '121') ('00:13:14.480', '00:13:18.720') 4.24 1.72 0.406
('121', '122') ('00:13:18.720', '00:13:19.840') 1.12 0.3 0.268
('122', '123') ('00:13:19.840', '00:13:23.040') 3.2 0.3 0.094
('123', '124') ('00:13:23.040', '00:13:23.840') 0.8 0.3 0.375
('124', '201') ('00:13:23.840', '00:13:32.600') 8.76 0.6 0.068
('201', '202') ('00:13:32.600', '00:13:34.680') 2.08 0.3 0.144
('202', '203') ('00:13:34.680', '00:13:35.840') 1.16 0.3 0.259
('203', '209') ('00:13:35.840', '00:13:38.080') 2.24 0.3 0.134

108,109,110,117,118,124,201,202,203,209,
Summary Trial 3
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('108', '109') ('00:14:25.280', '00:14:32.840') 7.56 0.3 0.04
('109', '110') ('00:14:32.840', '00:14:33.800') 0.96 0.3 0.312
('110', '117') ('00:14:33.800', '00:14:34.560') 0.76 0.3 0.395
('117', '118') ('00:14:34.560', '00:14:35.400') 0.84 0.3 0.357
('118', '124') ('00:14:35.400', '00:14:36.400') 1.0 0.3 0.3
('124', '201') ('00:14:36.400', '00:14:37.400') 1.0 0.6 0.6
('201', '202') ('00:14:37.400', '00:14:38.080') 0.68 0.3 0.441
('202', '203') ('00:14:38.080', '00:14:38.800') 0.72 0.3 0.417
('203', '209') ('00:14:38.800', '00:14:39.520') 0.72 0.3 0.417

308,307,308,307,308,315,308,307,301,302,121,122,123,124,201,202,203,209,
Summary Trial 4
Start-Next Nodes// Time points(s) //Seconds//Lenght(cm)// Velocity(m/s)
('308', '307') ('00:15:23.880', '00:15:29.320') 5.44 0.3 0.055
('307', '308') ('00:15:29.320', '00:15:29.600') 0.28 0.3 1.071
('308', '307') ('00:15:29.600', '00:15:30.000') 0.4 0.3 0.75
('307', '308') ('00:15:30.000', '00:15:30.480') 0.48 0.3 0.625
('308', '315') ('00:15:30.480', '00:15:34.400') 3.92 0.3 0.077
('315', '308') ('00:15:34.400', '00:15:35.520') 1.12 0.3 0.268
('308', '307') ('00:15:35.520', '00:15:38.240') 2.72 0.3 0.11
('307', '301') ('00:15:38.240', '00:15:39.400') 1.16 0.3 0.259
